id,path,type,url_slug,content_type,durability,business_value,search_intent,saudi_relevance_0_10,word_count,has_faq_schema,internal_links_count,external_authority_links_count,evergreen_strategy,notes
P001,src/pages/index.astro,page,/,pillar,evergreen,high,navigational+transactional,10,4971,yes,high,medium,n/a,Homepage 16 sections primary conversion page. Highest business value. FAQ schema present. References SDAIA/PDPL/NCA/ISO. Top Saudi relevance.
P002,src/pages/about/index.astro,page,/about/,cluster,evergreen,high,informational,10,1753,no,medium,medium,n/a,About page. Cluster to pillar. References NCA, SDAIA. Strong E-E-A-T.
P003,src/pages/contact/index.astro,page,/contact/,landing,evergreen,high,transactional,10,1304,no,low,none,n/a,Contact page. Conversion target. Form integration. No FAQ.
P004,src/pages/pricing/index.astro,page,/pricing/,landing,evergreen,high,transactional,9,1140,yes,medium,low,n/a,Pricing page. FAQ schema. Commercial intent. Mid Saudi relevance (not all pricing is local).
P005,src/pages/services/index.astro,page,/services/,pillar,evergreen,high,commercial,10,1412,yes,medium,low,n/a,Services hub page. Strong FAQ. Saudi-specific positioning.
P006,src/pages/trust/index.astro,page,/trust/,cluster,evergreen,high,informational,10,1059,yes,medium,high,n/a,Trust page. High E-E-A-T. References PDPL/NCA/SDAIA/ISO/SFDA/SAMA.
P007,src/pages/demo/index.astro,page,/demo/,landing,evergreen,high,transactional,10,1698,yes,medium,low,n/a,Demo request page. Conversion target. FAQ schema.
P008,src/pages/assessment/ai-governance-readiness/index.astro,page,/assessment/ai-governance-readiness/,landing,semi_evergreen,high,transactional,10,1567,yes,low,medium,n/a,AI Governance Readiness Assessment. Tactical lead magnet. Date-sensitive content (assumes current SDAIA guidelines).
P009,src/pages/404.astro,page,/404,utility,evergreen,low,navigational,5,296,no,none,none,n/a,404 error page. Utility only.
P010,src/pages/sitemap/index.astro,page,/sitemap/,utility,evergreen,low,navigational,0,1341,no,none,none,n/a,HTML sitemap. Utility only.
P011,src/pages/offline/index.astro,page,/offline/,utility,evergreen,low,navigational,0,219,no,none,none,n/a,Offline fallback page. SW cache fallback.
P012,src/pages/privacy-policy/index.astro,page,/privacy-policy/,legal,evergreen,low,informational,9,835,no,medium,high,n/a,AR Privacy Policy. Content from legal-content-inline.ts. References PDPL.
P013,src/pages/privacy-cookies/index.astro,page,/privacy-cookies/,legal,evergreen,low,informational,9,835,no,medium,high,n/a,AR Privacy + Cookies combined page. References PDPL.
P014,src/pages/cookie-policy/index.astro,page,/cookie-policy/,legal,evergreen,low,informational,9,835,no,medium,high,n/a,AR Cookie Policy. References PDPL.
P015,src/pages/terms/index.astro,page,/terms/,legal,evergreen,low,informational,9,835,no,medium,high,n/a,AR Terms of Service. References PDPL.
P016,src/pages/pdpl-statement/index.astro,page,/pdpl-statement/,legal,evergreen,low,informational,10,835,no,medium,high,n/a,AR PDPL-specific statement. Highest Saudi relevance in legal set.
P017,src/pages/data-processing-agreement/index.astro,page,/data-processing-agreement/,legal,evergreen,low,informational,9,835,no,medium,high,n/a,AR Data Processing Agreement. References PDPL/SDAIA.
P018,src/pages/en/privacy-policy/index.astro,page,/en/privacy-policy/,legal,evergreen,low,informational,7,416,no,low,medium,n/a,EN Privacy Policy. References PDPL with English phrasing.
P019,src/pages/en/cookie-policy/index.astro,page,/en/cookie-policy/,legal,evergreen,low,informational,7,416,no,low,medium,n/a,EN Cookie Policy.
