File Path,Category,Type,Size (Lines),Usage Count,Used By,Risk Level,Notes
src/components/ActivityStream.astro,Active,Component,81,1,src/pages/kernel/[slug].astro,Low,Actively used in pages
src/components/BackgroundGrid.astro,Active,Component,7,9,src/pages/404.astro; src/pages/contact/index.astro; src/pages/solutions/[slug].astro; src/pages/about/index.astro; src/pages/services/index.astro; src/pages/offline/index.astro; src/pages/demo/index.astro; src/pages/sitemap/index.astro; src/pages/assessment/ai-governance-readiness/index.astro,Low,Actively used in pages
src/components/Breadcrumbs.astro,Active,Component,63,17,src/layouts/BlogLayout.astro; src/layouts/DocsLayout.astro; src/pages/about/index.astro; src/pages/contact/index.astro; src/pages/services/index.astro; src/pages/solutions/index.astro; src/pages/solutions/[sector].astro; src/pages/solutions/[slug].astro; src/pages/solutions/[sector]/[city].astro; src/pages/blog/index.astro; src/pages/docs/index.astro; src/pages/kernel/index.astro; src/pages/kernel/[slug].astro; src/pages/trust/index.astro; src/pages/pricing/index.astro; src/pages/hub/index.astro; src/pages/hub/[slug].astro,Low,Actively used in pages
src/components/ComplianceRadar.astro,Active,Component,112,1,src/pages/kernel/[slug].astro,Low,Actively used in pages
src/components/CookieConsent.astro,Internal,Component,93,1,src/layouts/BaseLayout.astro,Medium,"Only used by other components, not directly by pages"
src/components/DocsRelatedLinks.astro,Internal,Component,28,1,src/layouts/DocsLayout.astro,Medium,"Only used by other components, not directly by pages"
src/components/DottedBackground.astro,Internal,Component,200,1,src/layouts/BaseLayout.astro,Medium,"Only used by other components, not directly by pages"
src/components/EvidenceFileMockup.astro,Active,Component,122,1,src/pages/kernel/[slug].astro,Low,Actively used in pages
src/components/Footer.astro,Internal,Component,292,2,src/layouts/BaseLayout.astro; src/layouts/KernelLayout.astro,Medium,"Only used by other components, not directly by pages"
src/components/Header.astro,Internal,Component,507,1,src/layouts/BaseLayout.astro,Medium,"Only used by other components, not directly by pages"
src/components/Icon.astro,Active,Component,31,9,src/components/SolutionCard.astro; src/components/SectorCard.astro; src/data/kernel.ts; src/pages/404.astro; src/pages/solutions/[sector]/[city].astro; src/pages/solutions/[slug].astro; src/pages/solutions/[sector].astro; src/pages/assessment/ai-governance-readiness/index.astro; src/pages/services/index.astro,Low,Actively used in pages
src/components/LiveDashboardMockup.astro,Active,Component,28,1,src/pages/kernel/index.astro,Low,Actively used in pages
src/components/MobileNav.astro,Internal,Component,393,1,src/layouts/BaseLayout.astro,Medium,"Only used by other components, not directly by pages"
src/components/RelatedLinks.astro,Active,Component,163,1,src/pages/solutions/[slug].astro,Low,Actively used in pages
src/components/RelatedPosts.astro,Internal,Component,91,1,src/layouts/BlogLayout.astro,Medium,"Only used by other components, not directly by pages"
src/components/SEOHead.astro,Internal,Component,98,1,src/layouts/BaseLayout.astro,Medium,"Only used by other components, not directly by pages"
src/components/SectionReveal.astro,Dead Code,Component,22,0,NONE,High,Component is not imported anywhere in the project
src/components/SectorCard.astro,Active,Component,0,2,src/pages/solutions/index.astro; src/pages/solutions/[sector].astro,Low,Actively used in pages
src/components/SolutionCard.astro,Active,Component,62,1,src/pages/solutions/index.astro,Low,Actively used in pages
src/components/SparklesCore.tsx,Dead Code,Component,180,0,NONE,High,Component is not imported anywhere in the project
src/components/SparklesHero.astro,Dead Code,Component,257,0,NONE,High,Component is not imported anywhere in the project
src/components/SplitHero.astro,Active,Component,419,1,src/pages/index.astro,Low,Actively used in pages
src/components/TableOfContents.astro,Internal,Component,26,1,src/layouts/DocsLayout.astro,Medium,"Only used by other components, not directly by pages"
src/components/WhatsAppCTA.astro,Internal,Component,86,1,src/layouts/BaseLayout.astro,Medium,"Only used by other components, not directly by pages"
src/components/KernelBadge.astro,Internal,Component,0,4,src/components/ActivityStream.astro; src/components/ComplianceRadar.astro; src/components/EvidenceFileMockup.astro; src/components/kernel/KernelPageHeader.astro,Medium,"Only used by other components, not directly by pages"
src/components/KernelContextLinks.astro,Active,Component,0,2,src/pages/kernel/index.astro; src/pages/kernel/[slug].astro,Low,Actively used in pages
src/components/KernelLoadingState.astro,Dead Code,Component,0,0,NONE,High,Component is not imported anywhere in the project
src/components/KernelMetric.astro,Internal,Component,0,1,src/components/LiveDashboardMockup.astro,Medium,"Only used by other components, not directly by pages"
src/components/KernelPageHeader.astro,Active,Component,0,2,src/pages/kernel/index.astro; src/pages/kernel/[slug].astro,Low,Actively used in pages
src/components/KernelSeoSection.astro,Active,Component,0,1,src/pages/kernel/[slug].astro,Low,Actively used in pages
src/components/KernelStatCard.astro,Dead Code,Component,0,0,NONE,High,Component is not imported anywhere in the project
src/components/KernelTable.astro,Dead Code,Component,0,0,NONE,High,Component is not imported anywhere in the project
src/components/DottedSurface.tsx,Internal,Component,0,1,src/components/SplitHero.astro,Medium,"Only used by other components, not directly by pages"
src/components/HeroVisual.tsx,Internal,Component,0,1,src/components/SplitHero.astro,Medium,"Only used by other components, not directly by pages"
