id,keyword,category,lang,estimated_volume,difficulty,intent,business_value,target_page,content_position,notes
A001,حوكمة الذكاء الاصطناعي في السعودية,A_AI_GOV_AR,ar,med,low,informational,H,/blog/ai-governance-saudi-arabia/,title,Pillar B017 anchor - 2,752 words - top-of-funnel Saudi local
A002,حوكمة الذكاء الاصطناعي الشركات السعودية,A_AI_GOV_AR,ar,med,low,commercial,H,/blog/ai-governance-saudi-arabia/,h2,Secondary keyword in pillar H2
A003,منصة حوكمة الذكاء الاصطناعي,A_AI_GOV_AR,ar,med,med,commercial,H,/solutions/ai-governance-platform/,title,Mother Platform primary keyword
A004,نظام حوكمة الذكاء الاصطناعي السعودي,A_AI_GOV_AR,ar,low,low,informational,H,/,h2,Brand differentiator "Saudi AI Safety OS"
A005,حوكمة AI في الشركات,A_AI_GOV_AR,ar,med,low,informational,H,/blog/what-is-ai-governance-saudi-companies/,h2,Definitional - 3,318 words
A006,حوكمة الذكاء الاصطناعي سدايا,A_AI_GOV_AR,ar,low,low,informational,H,/blog/sdaia-generative-ai-guidelines-practical-compliance/,h2,SDAIA angle - 2,194 words
A007,حوكمة الذكاء الاصطناعي رؤية 2030,A_AI_GOV_AR,ar,low,low,informational,M,/blog/vision-2030-ai-governance-roadmap/,title,Temporal roadmap content - 2,189 words
A008,حوكمة الذكاء الاصطناعي مسؤولية الشركات,A_AI_GOV_AR,ar,low,low,informational,M,/blog/ai-ethics-saudi-responsible-ai/,h2,Ethics angle - 1,698 words
A009,الفرق بين حوكمة الذكاء الاصطناعي وأمانه,A_AI_GOV_AR,ar,low,low,informational,M,/blog/ai-governance-vs-ai-safety-vs-ai-security/,h2,Conceptual differentiation - 2,179 words
A010,حوكمة الذكاء الاصطناعي التوليدي,A_AI_GOV_AR,ar,low,low,informational,H,/docs/sdaia-generative-ai-guidelines/,h2,Generative AI specific - 2,370 words
A011,برنامج حوكمة الذكاء الاصطناعي,A_AI_GOV_AR,ar,low,low,commercial,H,/solutions/ai-governance-platform/,h2,Programmatic implementation angle
A012,سياسة استخدام الذكاء الاصطناعي الشركات,A_AI_GOV_AR,ar,med,low,informational,H,/solutions/policy-to-control-mapping/,h2,Policy implementation keyword
B001,AI governance Saudi Arabia,B_AI_GOV_EN,en,med,med,informational,H,/blog/ai-governance-saudi-arabia/,title,EN entry point - serves EN-speaking CISO audience
B002,Saudi AI Safety OS,B_AI_GOV_EN,en,low,low,navigational,H,/,h2,Brand differentiator unique to BrightAI
B003,AI compliance Saudi Arabia enterprise,B_AI_GOV_EN,en,low,med,commercial,H,/solutions/ai-governance-platform/,h2,Enterprise commercial intent
B004,AI governance framework Saudi Arabia,B_AI_GOV_EN,en,low,med,informational,H,/blog/ai-governance-saudi-arabia/,h2,Framework anchor
B005,generative AI governance Saudi,B_AI_GOV_EN,en,low,low,informational,H,/docs/sdaia-generative-ai-guidelines/,h2,SDAIA + generative AI
B006,enterprise AI governance platform Saudi,B_AI_GOV_EN,en,low,low,commercial,H,/solutions/ai-governance-platform/,h2,Mother platform EN anchor
B007,AI policy Saudi Arabia,B_AI_GOV_EN,en,low,med,informational,H,/solutions/policy-to-control-mapping/,h2,Policy-to-control angle
B008,responsible AI Saudi Arabia,B_AI_GOV_EN,en,low,low,informational,M,/blog/ai-ethics-saudi-responsible-ai/,h2,Ethics + responsibility angle
B009,Saudi AI risk management enterprise,B_AI_GOV_EN,en,low,low,commercial,H,/solutions/ai-risk-classification/,h2,Risk classification product
B010,AI governance readiness assessment Saudi,B_AI_GOV_EN,en,low,low,transactional,H,/assessment/ai-governance-readiness/,title,Lead magnet - direct conversion
B011,AI governance maturity Saudi enterprise,B_AI_GOV_EN,en,low,low,informational,H,/assessment/ai-governance-readiness/,h2,Assessment landing page
C001,نظام حماية البيانات الشخصية PDPL,C_PDPL_AR,ar,med,low,informational,H,/blog/pdpl-ai-compliance-guide/,title,Top PDPL anchor - 2,970 words
C002,PDPL الذكاء الاصطناعي,C_PDPL_AR,ar,low,low,informational,H,/blog/pdpl-ai-compliance-guide/,h2,AI + PDPL intersection
C003,امتثال PDPL للشركات السعودية,C_PDPL_AR,ar,low,low,commercial,H,/blog/pdpl-ai-compliance-guide/,h2,Enterprise compliance angle
C004,حماية البيانات الشخصية AI,C_PDPL_AR,ar,med,low,informational,H,/blog/pdpl-and-ai-saudi/,h2,Foundational PDPL+AI article - 1,483 words
C005,PDPL والسدايا,C_PDPL_AR,ar,low,low,informational,H,/blog/pdpl-ai-compliance-guide/,body,Cross-link SDAIA reference
C006,سجل معالجة البيانات PDPL,C_PDPL_AR,ar,low,low,informational,H,/solutions/ai-audit-trail/,h2,Audit trail product hook
C007,تقييم أثر حماية البيانات PDPL,C_PDPL_AR,ar,low,low,informational,H,/blog/pdpl-ai-compliance-guide/,h2,DPIA requirement
C008,نقل البيانات خارج المملكة PDPL,C_PDPL_AR,ar,low,low,informational,M,/blog/pdpl-ai-compliance-guide/,h2,Cross-border transfer rule
C009,PDPL حماية بيانات العملاء,C_PDPL_AR,ar,low,low,commercial,H,/blog/ai-customer-data-protection-saudi/,title,Customer data cluster - 2,624 words
C010,PDPL الذكاء الاصطناعي التوليدي,C_PDPL_AR,ar,low,low,informational,H,/docs/pdpl-chatgpt-data-protection/,h2,ChatGPT-specific PDPL doc
C011,مسؤول حماية البيانات DPO السعودية,C_PDPL_AR,ar,low,low,informational,M,/blog/pdpl-ai-compliance-guide/,body,Role definition
C012,تسريب بيانات AI الشركات السعودية,C_PDPL_AR,ar,low,low,informational,H,/blog/ai-firewall-why-you-need-it/,h2,Pain point hook
C013,PDPL المؤسسات المالية السعودية,C_PDPL_AR,ar,low,low,commercial,H,/solutions/banking-ai-governance/,h2,Sector intersection
D001,PDPL Saudi Arabia compliance,D_PDPL_EN,en,low,low,informational,H,/blog/pdpl-ai-compliance-guide/,title,EN PDPL entry - 2,970 words
D002,Saudi personal data protection law AI,D_PDPL_EN,en,low,low,informational,H,/blog/pdpl-ai-compliance-guide/,h2,EN translation of legal anchor
D003,PDPL AI compliance Saudi enterprise,D_PDPL_EN,en,low,med,commercial,H,/solutions/ai-governance-platform/,h2,Commercial intent EN
D004,PDPL generative AI Saudi,D_PDPL_EN,en,low,low,informational,H,/docs/pdpl-chatgpt-data-protection/,h2,GenAI + PDPL doc
D005,cross-border data transfer Saudi PDPL,D_PDPL_EN,en,low,low,informational,H,/blog/pdpl-ai-compliance-guide/,h2,Cross-border rule
D006,PDPL data protection officer Saudi,D_PDPL_EN,en,low,low,informational,M,/blog/pdpl-ai-compliance-guide/,body,DPO role
