page,locale,url,field,before,after,char_count_before,char_count_after,status
index,ar,/,title,BrightAI | منصة حوكمة وأمان الذكاء الاصطناعي للشركات السعودية,BrightAI | حوكمة وأمان AI للشركات السعودية — PDPL,61,49,pending
index,ar,/,description,BrightAI توفر Saudi AI Safety OS للمؤسسات السعودية: AI Firewall، سجلات تدقيق، موافقات بشرية، حماية بيانات، وملفات أدلة تساعد على تشغيل الذكاء الاصطناعي بأمان وامتثال.,منصة سعودية متكاملة لحوكمة وأمان AI. تجمع AI Firewall، سجلات التدقيق، والموافقات البشرية في نظام واحد متوافق مع PDPL وNCA ECC لتأمين مؤسستك اليوم.,166,146,pending
about,ar,/about/,title,BrightAI لحوكمة الذكاء الاصطناعي في السعودية | BrightAI,من نحن | حوكمة AI للشركات السعودية — BrightAI,55,45,pending
about,ar,/about/,description,تعرف على BrightAI ومنهجيتها في مساعدة الجهات السعودية على تشغيل الذكاء الاصطناعي بثقة، مع حوكمة واضحة، حماية بيانات، وأدلة امتثال قابلة للمراجعة.,تعرّف على BrightAI ومنهجيتنا في حوكمة AI بالسعودية: حوكمة واضحة، حماية بيانات، وأدلة امتثال جاهزة للمدقق وفق نظام PDPL وNCA ECC المعتمد محلياً.,145,143,pending
services,ar,/services/,title,خدمات حوكمة وأمان الذكاء الاصطناعي للمؤسسات | BrightAI,خدمات حوكمة AI | تقييم، حماية، تدقيق — BrightAI,54,47,pending
services,ar,/services/,description,خدمات BrightAI تساعد الشركات السعودية على تقييم جاهزية الذكاء الاصطناعي، حماية البيانات، بناء سجلات تدقيق، إدارة الموافقات البشرية، وربط الاستخدام بضوابط امتثال واضحة.,خدمات BrightAI الـ 15 تغطي تقييم جاهزية AI، حماية البيانات، سجلات التدقيق، والموافقات البشرية. خدمات مخصصة للسوق السعودي وفق PDPL وNCA ECC بكل احترافية.,167,152,pending
solutions,ar,/solutions/,title,حلول حوكمة وأمان الذكاء الاصطناعي | المركز التقني | BrightAI,حلول حوكمة AI | AI Firewall + سجل تدقيق + ملف أدلة,60,50,pending
solutions,ar,/solutions/,description,مرجع شامل لكل حلول BrightAI التقنية: AI Firewall، سجل التدقيق، الموافقات البشرية، ملف الأدلة، وأنظمة الحوكمة. شرح كل حل، متى تستخدمه، وكيف يشتغل.,كل حلول BrightAI التقنية لحوكمة AI في مكان واحد: AI Firewall، سجل التدقيق، الموافقات البشرية، ملف الأدلة، وأنظمة الحوكمة. اكتشف متى تستخدم كل حل.,145,145,pending
pricing,ar,/pricing/,title,باقات BrightAI لحوكمة الذكاء الاصطناعي | BrightAI,باقات وأسعار حوكمة AI | 4 مستويات للشركات,49,41,pending
pricing,ar,/pricing/,description,قارن باقات BrightAI لحوكمة وأمان الذكاء الاصطناعي، واختر مستوى الدعم والضوابط المناسب لحجم منشأتك واحتياج الامتثال في السعودية، مع خطوة تالية واضحة.,4 باقات واضحة من BrightAI لحوكمة AI: استشارية، أتمتة، وكلاء، وخدمة عملاء. اختر المستوى المناسب لحجم منشأتك وامتثالها وفق PDPL بالسعودية والنظام المحلي.,148,151,pending
trust,ar,/trust/,title,مركز ثقة BrightAI للأمان والامتثال | BrightAI,مركز ثقة BrightAI | أمان وامتثال PDPL,45,37,pending
trust,ar,/trust/,description,تعرف على ممارسات BrightAI في الأمان والخصوصية والامتثال، وكيف تساعد المنصة الجهات السعودية على تشغيل الذكاء الاصطناعي بثقة ومسؤولية، مع خطوة تالية واضحة.,ممارسات BrightAI في الأمان والخصوصية والامتثال التنظيمي. كيف نساعد الجهات السعودية على تشغيل الذكاء الاصطناعي بثقة ومسؤولية وفق PDPL وNCA ECC.,153,142,pending
contact,ar,/contact/,title,احجز عرض BrightAI لحوكمة الذكاء الاصطناعي | BrightAI,تواصل معنا | احجز عرض حوكمة AI بالسعودية,52,40,pending
contact,ar,/contact/,description,تواصل مع BrightAI لحجز عرض عملي يوضح كيف تساعدك المنصة في حوكمة الذكاء الاصطناعي، حماية البيانات، وتجهيز أدلة امتثال تناسب منشأتك، مع خطوة تالية واضحة.,احجز عرض عملي مع BrightAI لحوكمة AI وحماية البيانات وأدلة امتثال تناسب منشأتك. متاح عبر واتساب +966538229013 والبريد الإلكتروني على مدار الأسبوع.,151,145,pending
demo,ar,/demo/,title,جميع ديموهات BrightAI للذكاء الاصطناعي في السعودية,30+ ديمو AI تفاعلي | مبيعات، توظيف، صحة,50,39,pending
demo,ar,/demo/,description,مركز ديموهات BrightAI: أكثر من 30 ديمو تفاعلي بالعربية للمبيعات، التوظيف، خدمة العملاء، تحليل البيانات، OCR، الرعاية الصحية، التعليم، والمناقصات.,أكثر من 30 ديمو AI تفاعلي بالعربية: مبيعات، توظيف، خدمة عملاء، تحليل بيانات، OCR، صحة، تعليم. جرّب BrightAI مجاناً قبل قرار الشراء بدون أي التزام.,145,146,pending
assessment,ar,/assessment/ai-governance-readiness/,title,تقييم مجاني لجاهزية حوكمة الذكاء الاصطناعي | BrightAI,تقييم جاهزية AI مجاني | فحص في 4 خطوات,53,38,pending
assessment,ar,/assessment/ai-governance-readiness/,description,ابدأ تقييم مجاني لجاهزية حوكمة الذكاء الاصطناعي داخل منشأتك، وحدد فجوات السياسات والضوابط والبيانات قبل بناء خطة امتثال عملية تناسب السوق السعودي، بوضوح.,ابدأ تقييم جاهزية AI مجاني من BrightAI اليوم: فحص السياسات والضوابط والبيانات وسجلات التدقيق. احصل على خطة امتثال عملية تناسب منشأتك في السعودية.,153,145,pending
sitemap,ar,/sitemap/,title,خريطة موقع BrightAI للصفحات والخدمات | BrightAI,خريطة موقع BrightAI | كل الخدمات,47,32,pending
sitemap,ar,/sitemap/,description,استخدم خريطة موقع BrightAI للوصول بسرعة إلى صفحات الخدمات والحلول والوثائق والديمو، واختيار المسار الأنسب لاحتياجك.,استكشف خريطة موقع BrightAI الكاملة: خدمات وحلول ووثائق وديموهات وقطاعات ومدن سعودية. اختر المسار الأنسب لاحتياجك بسرعة وسهولة في مكان واحد فقط.,115,143,pending
