link_id,from_url,from_title,from_type,from_pillar,to_url,to_title,to_type,to_pillar,anchor_text_ar,anchor_text_en,priority,placement,reason,safe_to_add_now,notes
L001,/,Homepage,pillar,P1,/solutions/ai-governance-platform/,AI Governance Platform,pillar,P2,"منصة حوكمة الذكاء الاصطناعي","AI Governance Platform",1,hero-cta,"Mother Platform hero CTA on homepage anchors all commercial traffic to P2",yes,exists-via-hero
L002,/,Homepage,pillar,P1,/services/,Services Overview,pillar,P1,"خدمات حوكمة الذكاء الاصطناعي","AI governance services",1,header-nav,"Services hub reinforces P1 cluster scope",yes,exists-via-main-nav
L003,/,Homepage,pillar,P1,/trust/,Trust Center,cluster,P1,"مركز الثقة","Trust center",1,footer-section,"Trust center validites E-E-A-T for entire site",yes,exists-via-footer
L004,/,Homepage,pillar,P1,/blog/ai-governance-saudi-arabia/,AI Governance Saudi Arabia,cluster,P2,"حوكمة الذكاء الاصطناعي في السعودية","AI governance in Saudi",2,resources-section,"Saudi-specific article best matches Saudi AI Safety OS positioning",yes,exists-via-relatedposts
L005,/,Homepage,pillar,P1,/assessment/ai-governance-readiness/,Readiness Assessment,cluster,P1,"تقييم جاهزية حوكمة الذكاء الاصطناعي","Readiness assessment",2,lead-magnet-section,"Assessment is primary lead capture for P1",yes,exists-via-cta
L006,/,Homepage,pillar,P1,/pricing/,Pricing,cluster,P1,"الأسعار","Pricing",2,footer-cta,"Pricing entry point directly below hero CTA",yes,exists-via-header
L007,/solutions/ai-governance-platform/,AI Governance Platform,pillar,P2,/solutions/ai-firewall/,AI Firewall,pillar,P5,"جدار حماية الذكاء الاصطناعي","AI Firewall",1,related-products,"Child product 1 of 4 in solutions.ts related field",yes,exists-via-related-field
L008,/solutions/ai-governance-platform/,AI Governance Platform,pillar,P2,/solutions/ai-audit-trail/,AI Audit Trail,cluster,P6,"مسار تدقيق الذكاء الاصطناعي","AI Audit Trail",1,related-products,"Child product 2 of 4 in solutions.ts related field",yes,exists-via-related-field
L009,/solutions/ai-governance-platform/,AI Governance Platform,pillar,P2,/solutions/human-approval-layer/,Human Approval Layer,cluster,P2,"طبقة الموافقة البشرية","Human approval layer",1,related-products,"Child product 3 of 4 in solutions.ts related field",yes,exists-via-related-field
L010,/solutions/ai-governance-platform/,AI Governance Platform,pillar,P2,/solutions/ai-evidence-file/,AI Evidence File,pillar,P6,"ملف أدلة الذكاء الاصطناعي","AI Evidence File",1,related-products,"Child product 4 of 4 in solutions.ts related field",yes,exists-via-related-field
L011,/solutions/ai-governance-platform/,AI Governance Platform,pillar,P2,/blog/ai-governance/,AI Governance Blog,cluster,P2,"حوكمة الذكاء الاصطناعي السعودية","AI Governance Saudi blog",1,blog-cta,"Foundational blog linked from platform CTA section",yes,exists-via-blog-field
L012,/solutions/ai-governance-platform/,AI Governance Platform,pillar,P2,/docs/ai-governance-platform/,AI Governance Platform Doc,cluster,P2,"توثيق منصة حوكمة الذكاء الاصطناعي","Platform documentation",1,docs-cta,"Technical doc reference for developers and CISOs",yes,exists-via-docs-field
L013,/solutions/ai-governance-platform/,AI Governance Platform,pillar,P2,/kernel/,BrightAI Kernel,pillar,P7,"كيرنل برايت آي","BrightAI Kernel",1,product-reference,"Kernel is operational implementation of platform",yes,exists-via-kernel-field
L014,/solutions/ai-governance-platform/,AI Governance Platform,pillar,P2,/solutions/banking-ai-governance/,Banking AI Governance,cluster,P2,"حوكمة الذكاء الاصطناعي في البنوك","Banking AI governance",2,sector-selector,"Sector 1 of 4 — financial sector adaptation",yes,exists-via-sectors-list
L015,/solutions/ai-governance-platform/,AI Governance Platform,pillar,P2,/solutions/government-ai-governance/,Government AI Governance,cluster,P2,"حوكمة الذكاء الاصطناعي في الجهات الحكومية","Government AI governance",2,sector-selector,"Sector 2 of 4 — government sector adaptation",yes,exists-via-sectors-list
L016,/solutions/ai-governance-platform/,AI Governance Platform,pillar,P2,/solutions/healthcare-ai-governance/,Healthcare AI Governance,cluster,P2,"حوكمة الذكاء الاصطناعي في الرعاية الصحية","Healthcare AI governance",2,sector-selector,"Sector 3 of 4 — healthcare sector adaptation",yes,exists-via-sectors-list
L017,/solutions/ai-governance-platform/,AI Governance Platform,pillar,P2,/solutions/manufacturing-ai-governance/,Manufacturing AI Governance,cluster,P2,"حوكمة الذكاء الاصطناعي في القطاع الصناعي","Manufacturing AI governance",2,sector-selector,"Sector 4 of 4 — industrial sector adaptation",yes,exists-via-sectors-list
L018,/solutions/ai-governance-platform/,AI Governance Platform,pillar,P2,/blog/best-ai-governance-platforms-2026/,Best AI Governance Platforms 2026,cluster,P2,"مقارنة منصات حوكمة AI في 2026","Best AI governance platforms 2026",2,comparison-section,"Temporal comparison article situates platform vs market",no,requires-add-to-relatedposts-or-new-block-text-mod
L019,/solutions/ai-governance-platform/,AI Governance Platform,pillar,P2,/blog/pdpl-ai-compliance-guide/,PDPL AI Compliance Guide,cluster,P3,"دليل PDPL والذكاء الاصطناعي","PDPL AI Compliance Guide",1,compliance-section,"Compliance validation — PDPL alignment explicit",no,requires-cross-pillar-widget-or-inline-text-mod
L020,/solutions/ai-governance-platform/,AI Governance Platform,pillar,P2,/docs/nca-ecc-ai-controls/,NCA ECC AI Controls,cluster,P4,"ضوابط NCA ECC للذكاء الاصطناعي","NCA ECC AI controls",1,security-section,"Cybersecurity compliance validation — NCA ECC alignment explicit",no,requires-cross-pillar-widget-or-inline-text-mod
L021,/solutions/ai-firewall/,AI Firewall,pillar,P5,/solutions/ai-audit-trail/,AI Audit Trail,cluster,P6,"مسار تدقيق الذكاء الاصطناعي","AI Audit Trail",1,related-products,"Logs blocked firewall attempts to immutable audit trail",yes,exists-via-related-field
L022,/solutions/ai-firewall/,AI Firewall,pillar,P5,/solutions/ai-risk-classification/,AI Risk Classification,cluster,P2,"تصنيف مخاطر الذكاء الاصطناعي","AI risk classification",1,related-products,"Firewall uses risk classification to decide block/allow",yes,exists-via-related-field
L023,/solutions/ai-firewall/,AI Firewall,pillar,P5,/solutions/human-approval-layer/,Human Approval Layer,cluster,P2,"طبقة الموافقة البشرية","Human approval layer",1,related-products,"High-risk prompts escalate to human approval",yes,exists-via-related-field
