path,category,referenced_by,is_orphan,is_seo_critical,is_font,is_legacy_path,notes
public/500.html,root,,yes,no,no,no,Error page - may be needed by server
public/CNAME,root,agent.md (config only),no,yes,no,no,Render/Cloudflare config
public/_headers,root,agent.md + scripts/generate-inventory.py,no,yes,no,no,Security + SEO headers
public/_redirects,root,agent.md + scripts/*,no,yes,no,no,"314 SEO redirects"
public/ai.txt,root,agent.md,no,yes,no,no,AI crawler file
public/e158df443f2742d281a02c4aeecb4a60.txt,root,scripts/trigger-indexnow.mjs,no,yes,no,no,IndexNow key
public/favicon.svg,root,BaseLayout.astro + about/index.astro,no,yes,no,no,Site icon
public/humans.txt,root,agent.md,no,yes,no,no,Humans file
public/icons.svg,root,~250 references in src/,no,no,no,no,SVG sprite - heavily used
public/llms.txt,root,agent.md,no,yes,no,no,LLM crawler file
public/llms-full.txt,root,agent.md,no,yes,no,no,LLM crawler file (full)
public/logo.png,root,"Header,MobileNav,Footer + BaseLayout",no,yes,no,no,Site logo
public/manifest.webmanifest,root,agent.md,no,yes,no,no,PWA manifest
public/robots.txt,root,agent.md + scripts/*,no,yes,no,no,Crawler directives
public/sitemap.xml,root,agent.md + scripts/*,no,yes,no,no,Site map (dynamic)
public/sitemap-images.xml,root,scripts/generate-image-sitemap.mjs,no,yes,no,no,Image sitemap
public/sw.js,root,render.yaml only,no,no,no,no,Service worker
public/fonts/TheYearofTheCamel-Medium.otf,fonts,BaseLayout.astro:182,no,no,yes,no,Brand font (OTF)
public/fonts/TheYearofTheCamel-Medium.woff2,fonts,BaseLayout.astro:55+182,no,no,yes,no,Brand font (WOFF2 - preferred)
public/fonts/Thin-Font.otf,fonts,,yes,no,yes,no,Orphan font - unused
public/frontend/assets/fonts/TheYearofTheCamel-Medium.otf,files/legacy-fonts,,yes,no,yes,yes,"Duplicate of public/fonts/ - legacy path"
public/frontend/assets/fonts/TheYearofTheCamel-Medium.woff2,files/legacy-fonts,,yes,no,yes,yes,"Duplicate of public/fonts/ - legacy path"
public/frontend/assets/images/authors/nasser-alabdullah.svg,files/legacy-images,,yes,no,no,yes,Orphan author image
public/frontend/assets/images/logo.png,files/legacy-images,,yes,no,no,yes,"Duplicate of public/logo.png - legacy path"
public/frontend/assets/images/og/brightai-og-1200x630.png,files/legacy-og,,yes,yes,no,yes,"Duplicate of public/images/og/ - legacy path"
public/frontend/assets/images/og/og-blog.png,files/legacy-og,,yes,yes,no,yes,"Orphan OG image - no modern equivalent"
public/frontend/assets/images/og/og-docs.png,files/legacy-og,,yes,yes,no,yes,"Orphan OG image - no modern equivalent"
public/frontend/assets/images/og/og-home.png,files/legacy-og,,yes,yes,no,yes,"Orphan OG image - no modern equivalent"
public/frontend/assets/images/og/og-kernel.png,files/legacy-og,,yes,yes,no,yes,"Orphan OG image - no modern equivalent"
public/frontend/assets/images/og/og-solutions.png,files/legacy-og,,yes,yes,no,yes,"Orphan OG image - no modern equivalent"
public/images/android-chrome-192x192.png,images,manifest.webmanifest,no,yes,no,no,PWA icon
public/images/android-chrome-512x512.png,images,manifest.webmanifest,no,yes,no,no,PWA icon
public/images/apple-touch-icon.png,images,BaseLayout.astro:59,no,yes,no,no,Apple touch icon
public/images/favicon-16x16.png,images,,yes,yes,no,no,Orphan - may be browser fallback
public/images/favicon-32x32.png,images,,yes,yes,no,no,Orphan - may be browser fallback
public/images/favicon-48x48.png,images,,yes,yes,no,no,Orphan - may be browser fallback
public/images/grid.svg,images,frontend/css/*.min.css (backend),no,no,no,no,Background grid - referenced by backend CSS
public/images/hero-brain.svg,images,frontend/css/bundle-critical.css,no,no,no,no,Hero image - referenced by backend CSS
public/images/icon-192-clean.svg,images,,yes,no,no,no,Orphan icon
public/images/icon-192.png,images,,yes,no,no,no,Orphan icon
public/images/icon-192.svg,images,,yes,no,no,no,Orphan icon
public/images/icon-512.png,images,,yes,no,no,no,Orphan icon
public/images/icon-maskable-192.png,images,,yes,no,no,no,Orphan maskable icon
public/images/icon-maskable.svg,images,,yes,no,no,no,Orphan maskable icon
public/images/icon-source.svg,images,,yes,no,no,no,Orphan icon source
public/images/logo-new.PNG,images,,yes,no,no,no,Old logo - orphan
public/images/logo-new.webp,images,,yes,no,no,no,Old logo - orphan
public/images/noise.png,images,frontend/css/main.bundle.min.css (backend),no,no,no,no,Noise texture - referenced by backend CSS
public/images/og/brightai-og-1200x630.png,images,src/data/site.ts (OG_IMAGE),no,yes,no,no,Primary OG image for social sharing
public/resources/ai-governance-checklist.pdf,resources,docs/governance-application.md,no,no,no,no,Download resource
public/resources/ai-governance-guide.pdf,resources,docs/governance-application.md,no,no,no,no,Download resource
public/resources/ai-tools-register.xlsx,resources,docs/governance-application.md,no,no,no,no,Download resource
public/resources/chatgpt-usage-policy-template.docx,resources,docs/governance-application.md,no,no,no,no,Download resource
